AK	FORD	20
AK	AUDI	18
AK	BMW	18
AK	NISSAN	12
AK	FERRARI	6
AL	TESLA	6
AL	KIA	2
AR	CADILLAC	6
AR	FERRARI	6
AR	HONDA	6
AR	NISSAN	6
AZ	AUDI	12
AZ	CHEVORLET	6
AZ	FERRARI	6
AZ	FORD	6
AZ	DODGE	2
CA	HONDA	84
CA	GEO GROUP INC	80
CA	TOYOTA	36
CA	TESLA	34
CA	AUDI	32
CO	TESLA	18
CO	FORD	6
CO	HONDA	6
CO	TESLA MOTORS	6
CO	DODGE	4
CT	SUBARU	12
CT	HONDA	6
CT	TOYOTA	2
DE	AUDI	6
DE	NISSAN ROGUE	6
FL	CHRYSLER	32
FL	TESLA	30
FL	BMW	22
FL	HONDA	18
FL	AUDI	14
GA	BUTLER LEXUS	6
GA	AUDI	4
GA	DODGE	4
HI	AUDI	6
HI	CHRYSLER	6
HI	LEXUS IS	2
IA	CHEVORLET	6
IA	TOYOTA	6
ID	TESLA	2
IL	DERBY MINI MAKER FAIRE	6
IL	VOLKSWAGEN	2
IN	AUDI	6
IN	CADILLAC	6
IN	MERCURY	6
IN	KIA RIO	2
KS	TESLA	10
KS	BENTLEY	6
KS	FORD	6
KS	MITSUBISHI	2
KY	MERCURY	6
KY	AUSTIN POWERS	2
MA	TESLA	12
MA	FORD	6
MA	VOLKSWAGEN	6
MA	SUBARU	2
MD	MASERATI	12
MD	ALPHAS LOTUS	6
MD	TESLA	4
MD	FERRARI	2
MD	HYUNDAI	2
ME	SUBARU	12
ME	DODGE CARAVAN	6
ME	HONDA	6
ME	TOYOTA OWNERS	6
ME	VOLVO	6
MI	FORD	18
MI	PONTIAC	12
MI	AUDI	8
MI	HONDA	6
MI	HONDA PILOT	6
MN	MCLAREN	12
MN	CADILLAC	6
MN	CHEVROLET	6
MN	FORD RANGER	6
MN	HONDA	6
MO	NISSAN	2
MT	HONDA	6
NC	PONTIAC	12
NC	DODGE	8
NC	TESLA	6
NC	VOLVO	6
NC	FORD	2
NE	DODGE	16
NE	GREGG YOUNG CHEVROLET	6
NE	LINCOLN NATIONAL CORPORATION	6
NE	BENTLEY	2
NE	FORD	2
NH	FORD PROFIT	6
NH	MINI	6
NH	BMW I	4
NH	LAMBORGHINI	2
NJ	AUDI	24
NJ	NISSAN	14
NJ	NISSAN ROGUE	6
NJ	VOLVO	6
NJ	FORD FACTORY	2
NM	HONDA	22
NM	NISSAN	18
NM	JEEP	12
NM	LAMBORGHINI	12
NM	NISSAN ALTIMA	12
NV	FORD	14
NV	BMW	12
NV	CHRYSLER	12
NV	HONDA	10
NV	DODGE	8
NY	DODGE	1438
NY	CHRYSLER	422
NY	AUDI	260
NY	FORD	256
NY	PLYMOUTH ROAD RUNNER	126
OH	FORD	24
OH	TESLA	20
OH	HONDA	16
OH	MERCURY	8
OH	AUDI	6
OK	FORD RANGERF602F480F480	6
OK	KIA	6
OK	NISSAN ROGUE	6
OK	TESLA	6
OR	FORD	16
OR	DODGE	8
OR	HONDA	8
OR	BMW	6
OR	TESLA FACTORY	6
PA	CHRYSLER	6
PA	TESLA	6
PA	TOYOTA	6
PA	DODGE	2
PA	VOLKSWAGEN SCIROCCO	2
RI	FERRARI	6
SC	BENTLEY	6
SC	VOLKSWAGEN	6
SC	MITSUBISHI	2
SD	BENTLEY	2
TN	CADILLAC	6
TX	HONDA	30
TX	FORD	28
TX	BMW	24
TX	TESLA	22
TX	TOYOTA	16
UT	TESLA	8
UT	AUDI	6
UT	HYUNDAI	6
UT	TOYOTA	6
UT	SCION	2
VA	AUDI	6
VA	CHEVROLET	6
VA	FORD MOTOR COMPANY	6
VA	MERCURY SYSTEMS INC	6
VA	TESLA	6
VT	FORD PROFIT	6
VT	FERRARI	2
WA	HONDA	20
WA	DODGE	6
WA	FERRARI	6
WA	FORD	4
WA	BMW	2
WI	TOYOTA RAV4	54
WI	HONDA	12
WI	AUDI	6
WI	BENTLEY	6
WI	BMW	6
WV	HYUNDAI	24
WV	FORD	22
WV	BMW	16
WV	HONDA	12
WV	DODGE STRATUS	10
WY	FORD	24
WY	AUDI	18
WY	BMW	14
WY	KIA	14
WY	FORD ESCAPE	8
